eic_code,cluster
62Z0008583037334,4
62Z0011230718431,4
62Z0096677872985,4
62Z0101426517156,5
62Z013852333354Y,4
62Z0188778556192,4
62Z0211989286227,4
62Z0232888687220,4
62Z0257942815672,4
62Z0259886906816,4
62Z0271773349182,4
62Z0285733378448,7
62Z0352290641310,0
62Z0453715929868,0
62Z0494602382356,0
62Z0499856982765,13
62Z052548745986I,14
62Z0611125169123,7
62Z0628247731117,0
62Z0650102958310,0
62Z0760150283041,14
62Z0763594350330,0
62Z0781092622088,14
62Z0832092193888,0
62Z0861889954804,14
62Z0878741618562,0
62Z0961732571457,14
62Z0966299278375,11
62Z0998466306766,3
62Z1008745793703,0
62Z1011664646618,14
62Z1026971387441,7
62Z1037291599086,2
62Z1040856316899,0
62Z1052783389048,0
62Z1067720741039,14
62Z1077202948019,0
62Z1092353551490,6
62Z1105854285450,6
62Z1108084147506,7
62Z1118549203538,8
62Z1124575209846,7
62Z1175275386589,2
62Z1180469265339,0
62Z1192270413312,7
62Z1209368438999,0
62Z1218299930809,0
62Z1291599260160,14
62Z131639303888J,14
62Z1325310425194,14
62Z132888029374Z,2
62Z1335377683815,0
62Z1369451614498,7
62Z1393717815036,11
62Z1419007174687,3
62Z1426991213062,2
62Z1471375271708,2
62Z1476408174577,3
62Z1483215110522,0
62Z1515842202934,10
62Z1528625762710,14
62Z1626313673880,13
62Z1657030092515,14
62Z1659898074045,7
62Z1667171467788,0
62Z1699793733727,11
62Z1771663109656,0
62Z1774668832410,2
62Z1776504505608,11
62Z1781749778395,13
62Z1785740293700,6
62Z1785888164071,14
62Z1796820029369,6
62Z1797927643038,7
62Z1811965727106,3
62Z1829125017921,7
62Z1854635779617,0
62Z1908641756932,2
62Z1931450722959,7
62Z1942693584669,11
62Z1971620996431,0
62Z1993541756298,7
62Z2035372013978,7
62Z2063504976595,0
62Z2088310794305,6
62Z2146506845449,0
62Z220653865958K,11
62Z2218971118163,3
62Z2265922863404,0
62Z2295513355879,3
62Z2312293868557,0
62Z2338430234645,14
62Z2395399053131,14
62Z2410378897684,14
62Z2462903940798,6
62Z2483925041819,8
62Z2496863291167,0
62Z2532379651825,0
62Z2534451404528,3
62Z2548630158379,0
62Z2553437444859,0
62Z2588424624258,14
62Z263077610044S,14
62Z2634468308280,0
62Z2634769525063,11
62Z2636920381647,2
62Z263750576887Y,14
62Z2651182694771,11
62Z2652760199060,11
62Z2655661084314,3
62Z2673921373211,2
62Z2718723694345,11
62Z2749095020078,6
62Z2752425371057,11
62Z2763068988417,2
62Z277440221246K,14
62Z2863396690510,6
62Z2871189104161,0
62Z2923711919630,0
62Z2924124864686,3
62Z2948906740151,9
62Z2986251549800,2
62Z3004068068544,0
62Z3050335819767,2
62Z3064979528589,6
62Z308384437449W,14
62Z3089684577498,13
62Z3123385628010,3
62Z3139295037679,0
62Z3151696887521,6
62Z3251275644497,14
62Z3261331410025,1
62Z3307823675943,8
62Z3311530591901,6
62Z3319570183213,0
62Z3352742280770,3
62Z3363428137139,10
62Z3386096691495,0
62Z3402828150471,0
62Z3405350712029,3
62Z3418886958455,0
62Z3423083910179,11
62Z3459585554968,6
62Z3470960064884,1
62Z3500556180000,14
62Z3500904013798,0
62Z3522594292484,0
62Z3550947401928,0
62Z3584090129468,14
62Z3599582761965,11
62Z3627036877597,11
62Z3670413006670,14
62Z3714266119413,6
62Z3735193775209,1
62Z3737130651612,6
62Z3760655590536,14
62Z3769305559380,7
62Z3777584435448,14
62Z3782531100736,3
62Z3786741394110,14
62Z3816201773292,8
62Z3831028766926,14
62Z3839853638432,7
62Z3896175377334,2
62Z3914112748257,8
62Z3914826994899,0
62Z3948925189967,14
62Z3958647570133,0
62Z3962336886350,11
62Z3982298183754,1
62Z3982836134374,11
62Z4015550378470,11
62Z4022724546559,12
62Z4026142936382,2
62Z4059172108670,0
62Z4101656497928,3
62Z4106130995736,0
62Z4108523399069,0
62Z4150188688382,7
62Z4166968219279,3
62Z4216533809712,11
62Z4220821460615,6
62Z4242835948103,14
62Z4272248913477,7
62Z4312225157283,14
62Z4312238198106,1
62Z435223622742X,14
62Z4376937874218,0
62Z4393630336378,13
62Z4437758189134,2
62Z4515858754299,13
62Z4534322132001,10
62Z4535568873600,14
62Z4548758318973,2
62Z4603551328872,1
62Z4620750607760,11
62Z4670013981058,14
62Z4695844209784,6
62Z4714370201362,13
62Z4799325639679,11
62Z4867412057712,14
62Z4869256917783,0
62Z4932099022421,11
62Z4935598443531,0
62Z4948939192262,13
62Z4971310138140,11
62Z4973549241143,0
62Z4988166368088,11
62Z5016551205400,2
62Z5036679942884,0
62Z5038669404578,0
62Z5064314448909,8
62Z5087432881718,11
62Z510430374778H,14
62Z5156908732276,0
62Z5197867294689,2
62Z5227218120709,14
62Z5276218736734,14
62Z5292138491045,0
62Z5320867133425,11
62Z5360291486920,0
62Z5387901249939,14
62Z5422632680702,0
62Z5423451602138,3
62Z5517692082284,14
62Z5520446881915,7
62Z5523967416230,14
62Z5544769493288,14
62Z5611760007206,6
62Z5641732606491,14
62Z5644220618430,14
62Z5644272506149,13
62Z568915908644K,7
62Z5700239654314,0
62Z5706564184731,0
62Z5771526107976,14
62Z5773779317696,11
62Z5807715983143,11
62Z5821574095639,14
62Z5838478539480,0
62Z5861103133130,2
62Z588650225523K,14
62Z5917376126498,7
62Z5924116714640,2
62Z5944737391486,6
62Z5996705858655,0
62Z6035944504754,0
62Z6043382821714,7
62Z6057805565288,7
62Z6070434707477,13
62Z6082894318884,0
62Z6084896400004,0
62Z6091309944129,11
62Z6136241721979,14
62Z6153652780082,14
62Z6186862204513,12
62Z6235725021728,11
62Z6295419983830,11
62Z6308545383007,3
62Z6337618908569,0
62Z6344783791424,13
62Z6365807395451,3
62Z6413133225959,7
62Z644025308441R,14
62Z6499995405271,14
62Z6526777505245,7
62Z6540712406912,3
62Z6542983815153,0
62Z6571743089872,11
62Z6605113197287,2
62Z661769289704V,1
62Z662465333459B,14
62Z6624735969589,7
62Z6626544596360,11
62Z6634912359403,14
62Z6814717943705,2
62Z6960657066877,11
62Z6961364992272,14
62Z6964799374009,2
62Z6969613150684,2
62Z7027336077892,11
62Z7029546479880,0
62Z7032230667708,0
62Z7036676557692,3
62Z706855223975R,11
62Z7072263538637,0
62Z7081538064702,7
62Z7081576017171,0
62Z7082490910138,14
62Z7083678872650,0
62Z7088382629051,11
62Z7103224563785,6
62Z7109147124378,11
62Z7119951832999,13
62Z7125526126367,11
62Z713390564870T,2
62Z7156461265052,11
62Z717554526459O,6
62Z7178192222681,0
62Z7198199177941,8
62Z7219337406431,11
62Z7227986894278,11
62Z7257059210435,11
62Z7258812866213,13
62Z7268415982128,7
62Z7306502515032,6
62Z7401145918482,14
62Z7456298044336,3
62Z7458705390604,14
62Z7497150291839,3
62Z7511957889375,0
62Z7581112729322,0
62Z7591557890876,0
62Z7612261635040,11
62Z7654575712966,13
62Z7682329447008,2
62Z771900708749Y,11
62Z7733696342866,7
62Z7757948039221,3
62Z7764311653541,3
62Z7766151236986,0
62Z7776579634526,13
62Z7841956124522,14
62Z7876545081062,14
62Z7878159195687,7
62Z7932254060039,11
62Z7941626132802,11
62Z7973386804189,7
62Z8036354573038,11
62Z811968840923V,14
62Z8138279652086,13
62Z8150719476557,11
62Z8163712471249,2
62Z8234166113338,13
62Z8267336736253,2
62Z8292498523912,0
62Z8388771014002,14
62Z8403052924571,14
62Z8426544240206,3
62Z8461462561806,2
62Z8464597395452,0
62Z8494140974602,11
62Z8512981217529,3
62Z8531625937985,11
62Z8538558470324,0
62Z8541926713598,0
62Z8786952418585,8
62Z8834115626356,2
62Z8852704405887,0
62Z8888861892130,7
62Z8905288593120,0
62Z8916686891448,1
62Z8919117976790,7
62Z8937841078757,11
62Z8953450714603,0
62Z897401965339V,14
62Z8988935135957,11
62Z9042463861989,7
62Z904708724460A,8
62Z9093615083372,0
62Z9129041027294,1
62Z9163183294707,13
62Z9179474926730,3
62Z918309493739N,14
62Z9191598698031,2
62Z9214767819161,11
62Z9220346666198,14
62Z9278811980047,2
62Z9284707003366,2
62Z9305845228363,0
62Z9342951787758,8
62Z9357538842306,2
62Z9431825219925,14
62Z945209821808O,6
62Z9487507238058,7
62Z9492255746718,0
62Z9507468441531,2
62Z9512175266041,6
62Z9514371217440,0
62Z9572466865833,2
62Z9587735590577,0
62Z9613656958413,3
62Z9628766695257,0
62Z9662014978089,11
62Z9672876874134,7
62Z9732843756703,0
62Z9750093264061,11
62Z9755185919256,11
62Z9767507424207,2
62Z9802763935791,7
62Z9807667180062,7
62Z9964019189968,0
62Z9967272139607,11
62Z9972124228553,2
62Z9997819406173,0
